;infix;prefix;conclusion
348;( 2 or 5 ) sep ( 1 and 3 );sep or 2 5 and 1 3;TnTnT,TTTnn
349;3 sep ( 3 or 3 );sep 3 or 3 3;nnTnn
350;not 2 sep ( 4 and 4 );sep not 2 and 4 4;nFnTn
351;( 4 or 4 ) sep ( 2 or 4 );sep or 4 4 or 2 4;nnnTn
352;( 1 and 2 ) sep ( 5 or 2 );sep and 1 2 or 5 2;TTnnn
353;( 1 and 2 ) sep ( 2 or 1 );sep and 1 2 or 2 1;TTnnn
354;3 sep ( 3 or 5 );sep 3 or 3 5;nnTnn
355;( 1 or 3 ) sep ( 1 or 1 );sep or 1 3 or 1 1;Tnnnn
356;( 1 or 2 ) sep 5;sep or 1 2 5;nTnnT,TnnnT
357;not 5 sep ( 4 and 2 );sep not 5 and 4 2;nTnTF
358;( 1 and 1 ) sep ( 5 and 3 );sep and 1 1 and 5 3;TnTnT
359;( 5 and 4 ) sep ( 2 and 3 );sep and 5 4 and 2 3;nTTTT
360;( 1 and 2 ) sep 4;sep and 1 2 4;TTnTn
361;( 1 and 3 ) sep ( 1 or 4 );sep and 1 3 or 1 4;TnTnn
362;( 4 and 5 ) sep 3;sep and 4 5 3;nnTTT
363;( 5 or 4 ) sep ( 3 and 1 );sep or 5 4 and 3 1;TnTnT,TnTTn
364;( 3 and 4 ) sep ( 1 or 1 );sep and 3 4 or 1 1;TnTTn
365;( 4 and 5 ) sep ( 5 or 2 );sep and 4 5 or 5 2;nnnTT
366;not 1 sep ( 5 or 2 );sep not 1 or 5 2;FnnnT,FTnnn
367;( 2 or 2 ) sep ( 3 and 2 );sep or 2 2 and 3 2;nTTnn
368;( 5 or 3 ) sep ( 3 and 5 );sep or 5 3 and 3 5;nnTnT
369;not 4 sep ( 4 or 5 );sep not 4 or 4 5;nnnFT
370;( 2 and 1 ) sep not 3;sep and 2 1 not 3;TTFnn
371;not 4 sep 2;sep not 4 2;nTnFn
372;( 5 or 1 ) sep not 4;sep or 5 1 not 4;nnnFT,TnnFn
373;( 3 and 1 ) sep ( 2 or 4 );sep and 3 1 or 2 4;TnTTn,TTTnn
374;( 5 and 1 ) sep ( 2 and 4 );sep and 5 1 and 2 4;TTnTT
375;( 4 or 1 ) sep ( 2 or 3 );sep or 4 1 or 2 3;nnTTn,nTnTn,TnTnn,TTnnn
376;( 3 or 1 ) sep ( 1 and 5 );sep or 3 1 and 1 5;TnnnT
377;( 5 and 2 ) sep not 4;sep and 5 2 not 4;nTnFT
378;( 3 and 2 ) sep ( 2 or 4 );sep and 3 2 or 2 4;nTTnn
379;( 4 or 1 ) sep ( 3 and 1 );sep or 4 1 and 3 1;TnTnn
380;( 2 and 5 ) sep not 3;sep and 2 5 not 3;nTFnT
381;( 2 or 4 ) sep not 5;sep or 2 4 not 5;nnnTF,nTnnF
382;( 3 or 2 ) sep ( 3 and 3 );sep or 3 2 and 3 3;nnTnn
383;( 5 or 5 ) sep ( 5 or 1 );sep or 5 5 or 5 1;nnnnT
384;not 2 sep ( 1 or 3 );sep not 2 or 1 3;nFTnn,TFnnn
385;( 4 or 5 ) sep not 4;sep or 4 5 not 4;nnnFT
386;( 4 and 2 ) sep ( 1 and 3 );sep and 4 2 and 1 3;TTTTn
387;( 1 and 1 ) sep ( 4 and 5 );sep and 1 1 and 4 5;TnnTT
388;( 5 and 2 ) sep ( 3 and 5 );sep and 5 2 and 3 5;nTTnT
389;not 1 sep not 1;sep not 1 not 1;Fnnnn
390;( 4 or 3 ) sep ( 5 and 3 );sep or 4 3 and 5 3;nnTnT
391;2 sep not 3;sep 2 not 3;nTFnn
392;( 3 or 3 ) sep 5;sep or 3 3 5;nnTnT
393;( 3 or 2 ) sep not 5;sep or 3 2 not 5;nnTnF,nTnnF
394;( 5 or 2 ) sep not 2;sep or 5 2 not 2;nFnnT
395;( 4 or 2 ) sep 1;sep or 4 2 1;TnnTn,TTnnn
396;( 1 or 3 ) sep not 2;sep or 1 3 not 2;nFTnn,TFnnn
397;( 3 and 1 ) sep ( 4 and 3 );sep and 3 1 and 4 3;TnTTn
398;( 1 or 5 ) sep ( 1 and 2 );sep or 1 5 and 1 2;TTnnn
399;not 3 sep ( 3 or 5 );sep not 3 or 3 5;nnFnT
400;( 4 and 4 ) sep ( 4 and 5 );sep and 4 4 and 4 5;nnnTT
401;( 3 or 2 ) sep not 2;sep or 3 2 not 2;nFTnn
402;not 5 sep ( 2 or 5 );sep not 5 or 2 5;nTnnF
403;2 sep ( 4 and 1 );sep 2 and 4 1;TTnTn
404;1 sep ( 3 and 5 );sep 1 and 3 5;TnTnT
405;3 sep ( 5 and 2 );sep 3 and 5 2;nTTnT
406;( 3 or 2 ) sep ( 4 and 5 );sep or 3 2 and 4 5;nnTTT,nTnTT
407;( 4 and 2 ) sep ( 2 or 4 );sep and 4 2 or 2 4;nTnTn
408;( 3 and 3 ) sep 2;sep and 3 3 2;nTTnn
409;( 2 and 2 ) sep not 3;sep and 2 2 not 3;nTFnn
410;( 2 or 5 ) sep ( 1 or 4 );sep or 2 5 or 1 4;nnnTT,nTnTn,TnnnT,TTnnn
411;2 sep ( 3 and 2 );sep 2 and 3 2;nTTnn
412;not 3 sep ( 5 or 1 );sep not 3 or 5 1;nnFnT,TnFnn
413;( 2 or 4 ) sep ( 3 and 2 );sep or 2 4 and 3 2;nTTnn
414;3 sep ( 1 and 3 );sep 3 and 1 3;TnTnn
415;not 1 sep ( 2 or 4 );sep not 1 or 2 4;FnnTn,FTnnn
416;( 2 or 5 ) sep 5;sep or 2 5 5;nnnnT
417;( 1 and 4 ) sep ( 4 and 4 );sep and 1 4 and 4 4;TnnTn
418;( 3 and 2 ) sep 5;sep and 3 2 5;nTTnT
419;( 2 or 2 ) sep ( 4 and 4 );sep or 2 2 and 4 4;nTnTn
420;( 1 or 4 ) sep ( 1 and 1 );sep or 1 4 and 1 1;Tnnnn
421;( 5 and 3 ) sep ( 3 or 4 );sep and 5 3 or 3 4;nnTnT
422;( 4 or 3 ) sep not 2;sep or 4 3 not 2;nFnTn,nFTnn
423;( 5 or 5 ) sep 1;sep or 5 5 1;TnnnT
424;( 3 and 3 ) sep ( 1 and 5 );sep and 3 3 and 1 5;TnTnT
425;( 4 or 2 ) sep 2;sep or 4 2 2;nTnnn
426;( 5 and 1 ) sep not 2;sep and 5 1 not 2;TFnnT
427;( 4 or 3 ) sep not 5;sep or 4 3 not 5;nnnTF,nnTnF
428;not 2 sep 1;sep not 2 1;TFnnn
429;( 5 or 4 ) sep not 5;sep or 5 4 not 5;nnnTF
430;4 sep ( 4 and 5 );sep 4 and 4 5;nnnTT
431;( 2 or 5 ) sep ( 3 or 3 );sep or 2 5 or 3 3;nnTnT,nTTnn
432;( 3 and 1 ) sep ( 3 or 2 );sep and 3 1 or 3 2;TnTnn
433;( 5 and 4 ) sep ( 4 or 3 );sep and 5 4 or 4 3;nnnTT
434;( 5 or 5 ) sep ( 5 and 3 );sep or 5 5 and 5 3;nnTnT
435;( 2 and 3 ) sep ( 1 or 3 );sep and 2 3 or 1 3;nTTnn
436;( 3 or 1 ) sep ( 4 and 1 );sep or 3 1 and 4 1;TnnTn
437;( 3 or 1 ) sep ( 4 or 2 );sep or 3 1 or 4 2;nnTTn,nTTnn,TnnTn,TTnnn
438;( 3 or 4 ) sep ( 2 or 4 );sep or 3 4 or 2 4;nnnTn,nTTnn
439;( 3 and 3 ) sep 1;sep and 3 3 1;TnTnn
440;1 sep 2;sep 1 2;TTnnn
441;( 2 and 4 ) sep ( 2 or 2 );sep and 2 4 or 2 2;nTnTn
442;( 2 or 5 ) sep not 1;sep or 2 5 not 1;FnnnT,FTnnn
443;not 3 sep ( 5 or 5 );sep not 3 or 5 5;nnFnT
444;( 5 or 3 ) sep ( 2 and 2 );sep or 5 3 and 2 2;nTnnT,nTTnn
445;( 1 or 5 ) sep ( 2 and 5 );sep or 1 5 and 2 5;nTnnT
446;( 3 and 4 ) sep ( 4 or 5 );sep and 3 4 or 4 5;nnTTn
447;( 2 and 5 ) sep not 4;sep and 2 5 not 4;nTnFT
448;( 2 or 2 ) sep ( 3 and 5 );sep or 2 2 and 3 5;nTTnT
449;( 1 and 4 ) sep ( 5 and 5 );sep and 1 4 and 5 5;TnnTT
450;3 sep not 5;sep 3 not 5;nnTnF
451;( 4 and 3 ) sep ( 4 and 4 );sep and 4 3 and 4 4;nnTTn
452;( 1 or 4 ) sep ( 2 or 4 );sep or 1 4 or 2 4;nnnTn,TTnnn
453;( 3 or 3 ) sep ( 4 or 2 );sep or 3 3 or 4 2;nnTTn,nTTnn
454;( 5 or 4 ) sep ( 4 and 5 );sep or 5 4 and 4 5;nnnTT
455;not 4 sep ( 3 and 1 );sep not 4 and 3 1;TnTFn
456;( 4 or 3 ) sep not 4;sep or 4 3 not 4;nnTFn
457;( 4 or 3 ) sep ( 2 and 4 );sep or 4 3 and 2 4;nTnTn
458;not 5 sep ( 2 or 3 );sep not 5 or 2 3;nnTnF,nTnnF
459;3 sep not 4;sep 3 not 4;nnTFn
460;3 sep ( 3 and 1 );sep 3 and 3 1;TnTnn
461;( 3 and 3 ) sep ( 1 and 4 );sep and 3 3 and 1 4;TnTTn
462;( 2 or 5 ) sep ( 3 and 3 );sep or 2 5 and 3 3;nnTnT,nTTnn
463;not 4 sep not 3;sep not 4 not 3;nnFFn
464;not 4 sep ( 5 and 2 );sep not 4 and 5 2;nTnFT
465;( 1 and 4 ) sep 3;sep and 1 4 3;TnTTn
466;( 5 and 5 ) sep ( 1 or 4 );sep and 5 5 or 1 4;nnnTT,TnnnT
467;( 2 and 2 ) sep 3;sep and 2 2 3;nTTnn
468;( 3 and 1 ) sep ( 3 or 5 );sep and 3 1 or 3 5;TnTnn
469;2 sep ( 3 or 5 );sep 2 or 3 5;nTnnT,nTTnn
470;not 2 sep ( 3 or 2 );sep not 2 or 3 2;nFTnn
471;not 3 sep ( 4 and 1 );sep not 3 and 4 1;TnFTn
472;not 2 sep ( 4 and 3 );sep not 2 and 4 3;nFTTn
473;( 2 or 2 ) sep ( 5 or 4 );sep or 2 2 or 5 4;nTnnT,nTnTn
474;( 1 or 5 ) sep ( 3 or 2 );sep or 1 5 or 3 2;nnTnT,nTnnT,TnTnn,TTnnn
475;( 2 or 4 ) sep ( 2 and 1 );sep or 2 4 and 2 1;TTnnn
476;( 3 and 3 ) sep ( 2 or 4 );sep and 3 3 or 2 4;nnTTn,nTTnn
477;( 2 and 3 ) sep not 4;sep and 2 3 not 4;nTTFn
478;( 2 or 3 ) sep not 3;sep or 2 3 not 3;nTFnn
479;( 5 and 1 ) sep 4;sep and 5 1 4;TnnTT
480;( 4 and 3 ) sep 2;sep and 4 3 2;nTTTn
481;( 5 or 2 ) sep not 3;sep or 5 2 not 3;nnFnT,nTFnn
482;( 2 and 3 ) sep ( 5 and 2 );sep and 2 3 and 5 2;nTTnT
483;1 sep ( 4 and 2 );sep 1 and 4 2;TTnTn
484;not 5 sep ( 3 and 1 );sep not 5 and 3 1;TnTnF
485;( 5 and 5 ) sep ( 3 or 2 );sep and 5 5 or 3 2;nnTnT,nTnnT
486;not 2 sep ( 3 and 5 );sep not 2 and 3 5;nFTnT
487;( 3 or 3 ) sep ( 3 and 2 );sep or 3 3 and 3 2;nTTnn
488;4 sep ( 3 and 2 );sep 4 and 3 2;nTTTn
489;( 1 and 5 ) sep not 3;sep and 1 5 not 3;TnFnT
490;2 sep 3;sep 2 3;nTTnn
491;2 sep not 5;sep 2 not 5;nTnnF
492;not 3 sep ( 1 and 2 );sep not 3 and 1 2;TTFnn
493;( 1 and 3 ) sep ( 5 and 5 );sep and 1 3 and 5 5;TnTnT
494;1 sep ( 1 and 1 );sep 1 and 1 1;Tnnnn
495;not 1 sep ( 1 or 4 );sep not 1 or 1 4;FnnTn
496;( 5 and 5 ) sep ( 4 and 2 );sep and 5 5 and 4 2;nTnTT
497;( 4 and 4 ) sep ( 3 or 5 );sep and 4 4 or 3 5;nnnTT,nnTTn
498;( 5 and 5 ) sep 3;sep and 5 5 3;nnTnT
499;not 2 sep not 3;sep not 2 not 3;nFFnn
500;( 3 or 5 ) sep 3;sep or 3 5 3;nnTnn
501;( 4 or 4 ) sep 5;sep or 4 4 5;nnnTT
502;( 4 and 2 ) sep ( 1 or 1 );sep and 4 2 or 1 1;TTnTn
503;( 3 and 3 ) sep ( 5 or 5 );sep and 3 3 or 5 5;nnTnT
504;( 1 or 2 ) sep not 4;sep or 1 2 not 4;nTnFn,TnnFn
505;not 3 sep ( 1 or 2 );sep not 3 or 1 2;nTFnn,TnFnn
506;( 4 or 4 ) sep ( 4 and 4 );sep or 4 4 and 4 4;nnnTn
507;( 4 and 4 ) sep ( 5 or 5 );sep and 4 4 or 5 5;nnnTT
508;not 4 sep ( 1 and 5 );sep not 4 and 1 5;TnnFT
509;( 1 or 4 ) sep not 2;sep or 1 4 not 2;nFnTn,TFnnn
510;4 sep ( 3 and 1 );sep 4 and 3 1;TnTTn
511;( 1 or 3 ) sep 1;sep or 1 3 1;Tnnnn
512;( 4 or 5 ) sep not 2;sep or 4 5 not 2;nFnnT,nFnTn
513;( 2 or 1 ) sep ( 4 or 1 );sep or 2 1 or 4 1;nTnTn,Tnnnn
514;( 4 or 4 ) sep ( 5 or 1 );sep or 4 4 or 5 1;nnnTT,TnnTn
515;( 4 or 1 ) sep ( 5 and 5 );sep or 4 1 and 5 5;nnnTT,TnnnT
516;( 3 or 2 ) sep ( 2 and 3 );sep or 3 2 and 2 3;nTTnn
517;( 2 or 4 ) sep ( 4 or 1 );sep or 2 4 or 4 1;nnnTn,TTnnn
518;not 2 sep ( 1 and 3 );sep not 2 and 1 3;TFTnn
519;( 4 or 4 ) sep ( 2 and 1 );sep or 4 4 and 2 1;TTnTn
520;( 5 and 5 ) sep 5;sep and 5 5 5;nnnnT
521;( 4 or 3 ) sep ( 1 and 5 );sep or 4 3 and 1 5;TnnTT,TnTnT
522;( 2 or 4 ) sep ( 1 or 5 );sep or 2 4 or 1 5;nnnTT,nTnnT,TnnTn,TTnnn
523;( 5 or 2 ) sep ( 4 and 1 );sep or 5 2 and 4 1;TnnTT,TTnTn
524;not 3 sep ( 4 and 5 );sep not 3 and 4 5;nnFTT
525;1 sep not 4;sep 1 not 4;TnnFn
526;( 2 and 4 ) sep 4;sep and 2 4 4;nTnTn
527;( 1 and 1 ) sep not 3;sep and 1 1 not 3;TnFnn
528;( 2 and 4 ) sep ( 2 and 3 );sep and 2 4 and 2 3;nTTTn
529;not 3 sep ( 4 or 3 );sep not 3 or 4 3;nnFTn
530;( 2 and 5 ) sep ( 1 or 4 );sep and 2 5 or 1 4;nTnTT,TTnnT
531;1 sep not 3;sep 1 not 3;TnFnn
532;( 4 and 5 ) sep ( 1 and 1 );sep and 4 5 and 1 1;TnnTT
533;( 4 and 4 ) sep ( 1 and 1 );sep and 4 4 and 1 1;TnnTn
534;( 4 and 2 ) sep ( 5 and 5 );sep and 4 2 and 5 5;nTnTT
535;( 2 and 5 ) sep ( 5 or 5 );sep and 2 5 or 5 5;nTnnT
536;( 1 or 2 ) sep not 1;sep or 1 2 not 1;FTnnn
537;( 2 and 4 ) sep ( 3 and 3 );sep and 2 4 and 3 3;nTTTn
538;5 sep 2;sep 5 2;nTnnT
539;3 sep 1;sep 3 1;TnTnn
540;not 2 sep ( 5 or 5 );sep not 2 or 5 5;nFnnT
541;( 1 and 3 ) sep ( 5 and 3 );sep and 1 3 and 5 3;TnTnT
542;not 1 sep ( 4 or 4 );sep not 1 or 4 4;FnnTn
543;not 4 sep ( 4 or 3 );sep not 4 or 4 3;nnTFn
544;( 5 and 4 ) sep ( 4 and 5 );sep and 5 4 and 4 5;nnnTT
545;( 5 and 2 ) sep ( 3 and 4 );sep and 5 2 and 3 4;nTTTT
546;( 2 or 4 ) sep 5;sep or 2 4 5;nnnTT,nTnnT
547;5 sep ( 2 and 1 );sep 5 and 2 1;TTnnT
548;( 5 and 2 ) sep ( 1 and 2 );sep and 5 2 and 1 2;TTnnT
549;( 5 and 5 ) sep ( 4 or 1 );sep and 5 5 or 4 1;nnnTT,TnnnT
550;( 4 and 2 ) sep ( 5 and 4 );sep and 4 2 and 5 4;nTnTT
551;( 2 and 1 ) sep ( 4 or 1 );sep and 2 1 or 4 1;TTnnn
552;3 sep 3;sep 3 3;nnTnn
553;( 1 or 2 ) sep not 2;sep or 1 2 not 2;TFnnn
554;( 3 or 4 ) sep ( 1 or 4 );sep or 3 4 or 1 4;nnnTn,TnTnn
555;( 5 and 5 ) sep ( 2 or 4 );sep and 5 5 or 2 4;nnnTT,nTnnT
556;( 3 or 4 ) sep ( 2 and 4 );sep or 3 4 and 2 4;nTnTn
557;( 1 and 5 ) sep ( 1 and 1 );sep and 1 5 and 1 1;TnnnT
558;( 3 and 1 ) sep ( 1 and 2 );sep and 3 1 and 1 2;TTTnn
559;( 5 and 4 ) sep 4;sep and 5 4 4;nnnTT
560;( 2 and 5 ) sep 4;sep and 2 5 4;nTnTT
561;( 2 or 3 ) sep ( 3 or 4 );sep or 2 3 or 3 4;nnTnn,nTnTn
562;( 4 and 1 ) sep ( 5 and 5 );sep and 4 1 and 5 5;TnnTT
563;( 5 or 3 ) sep ( 1 and 2 );sep or 5 3 and 1 2;TTnnT,TTTnn
564;( 1 or 3 ) sep ( 1 and 4 );sep or 1 3 and 1 4;TnnTn
565;( 5 or 1 ) sep ( 2 and 4 );sep or 5 1 and 2 4;nTnTT,TTnTn
566;( 1 and 3 ) sep ( 2 or 2 );sep and 1 3 or 2 2;TTTnn
567;4 sep ( 1 or 5 );sep 4 or 1 5;nnnTT,TnnTn
568;( 3 or 3 ) sep ( 3 or 5 );sep or 3 3 or 3 5;nnTnn
569;( 5 or 3 ) sep ( 5 or 5 );sep or 5 3 or 5 5;nnnnT
570;( 5 and 2 ) sep ( 4 and 2 );sep and 5 2 and 4 2;nTnTT
571;5 sep not 2;sep 5 not 2;nFnnT
572;not 3 sep ( 2 or 1 );sep not 3 or 2 1;nTFnn,TnFnn
573;( 1 and 5 ) sep ( 5 and 2 );sep and 1 5 and 5 2;TTnnT
574;( 5 and 4 ) sep not 2;sep and 5 4 not 2;nFnTT
575;( 1 and 2 ) sep ( 5 or 5 );sep and 1 2 or 5 5;TTnnT
576;not 2 sep ( 4 or 1 );sep not 2 or 4 1;nFnTn,TFnnn
577;( 5 or 1 ) sep ( 2 or 4 );sep or 5 1 or 2 4;nnnTT,nTnnT,TnnTn,TTnnn
578;( 3 or 3 ) sep ( 2 or 2 );sep or 3 3 or 2 2;nTTnn
579;( 5 or 5 ) sep not 1;sep or 5 5 not 1;FnnnT
580;not 5 sep ( 3 or 3 );sep not 5 or 3 3;nnTnF
581;( 1 and 1 ) sep 4;sep and 1 1 4;TnnTn
582;( 4 and 2 ) sep 2;sep and 4 2 2;nTnTn
583;not 3 sep ( 3 or 1 );sep not 3 or 3 1;TnFnn
584;( 4 and 4 ) sep not 1;sep and 4 4 not 1;FnnTn
585;( 1 and 2 ) sep ( 1 and 3 );sep and 1 2 and 1 3;TTTnn
586;( 3 and 5 ) sep ( 1 and 4 );sep and 3 5 and 1 4;TnTTT
587;3 sep ( 1 or 4 );sep 3 or 1 4;nnTTn,TnTnn
588;( 1 or 1 ) sep ( 2 or 5 );sep or 1 1 or 2 5;TnnnT,TTnnn
589;( 1 or 1 ) sep ( 4 or 5 );sep or 1 1 or 4 5;TnnnT,TnnTn
590;( 2 and 1 ) sep 4;sep and 2 1 4;TTnTn
591;2 sep ( 4 or 2 );sep 2 or 4 2;nTnnn
592;( 2 or 1 ) sep ( 4 or 5 );sep or 2 1 or 4 5;nTnnT,nTnTn,TnnnT,TnnTn
593;( 1 and 1 ) sep not 5;sep and 1 1 not 5;TnnnF
594;2 sep ( 5 or 4 );sep 2 or 5 4;nTnnT,nTnTn
595;not 1 sep ( 1 or 3 );sep not 1 or 1 3;FnTnn
596;( 5 and 4 ) sep ( 2 or 4 );sep and 5 4 or 2 4;nnnTT
597;( 3 or 1 ) sep ( 2 and 3 );sep or 3 1 and 2 3;nTTnn
598;( 3 and 4 ) sep ( 1 and 4 );sep and 3 4 and 1 4;TnTTn
599;( 5 and 5 ) sep ( 2 and 4 );sep and 5 5 and 2 4;nTnTT
600;( 2 and 2 ) sep ( 5 or 1 );sep and 2 2 or 5 1;nTnnT,TTnnn
601;( 3 and 3 ) sep ( 4 or 5 );sep and 3 3 or 4 5;nnTnT,nnTTn
602;( 3 or 1 ) sep not 5;sep or 3 1 not 5;nnTnF,TnnnF
603;5 sep ( 3 and 2 );sep 5 and 3 2;nTTnT
604;( 4 and 2 ) sep ( 3 or 5 );sep and 4 2 or 3 5;nTnTT,nTTTn
605;( 2 or 2 ) sep ( 2 or 2 );sep or 2 2 or 2 2;nTnnn
606;( 2 and 5 ) sep ( 4 and 5 );sep and 2 5 and 4 5;nTnTT
607;4 sep ( 5 or 1 );sep 4 or 5 1;nnnTT,TnnTn
608;( 1 and 4 ) sep ( 1 or 5 );sep and 1 4 or 1 5;TnnTn
609;( 1 or 1 ) sep ( 5 and 5 );sep or 1 1 and 5 5;TnnnT
610;( 1 and 4 ) sep not 2;sep and 1 4 not 2;TFnTn
611;( 3 and 3 ) sep ( 5 and 2 );sep and 3 3 and 5 2;nTTnT
612;not 1 sep ( 3 or 4 );sep not 1 or 3 4;FnnTn,FnTnn
613;( 3 or 2 ) sep not 3;sep or 3 2 not 3;nTFnn
614;( 2 and 4 ) sep not 1;sep and 2 4 not 1;FTnTn
615;( 3 or 1 ) sep ( 1 and 1 );sep or 3 1 and 1 1;Tnnnn
616;not 5 sep ( 2 and 1 );sep not 5 and 2 1;TTnnF
617;not 5 sep 1;sep not 5 1;TnnnF
618;( 2 or 5 ) sep ( 1 and 4 );sep or 2 5 and 1 4;TnnTT,TTnTn
619;( 4 and 3 ) sep ( 3 and 1 );sep and 4 3 and 3 1;TnTTn
620;( 5 and 4 ) sep ( 2 or 1 );sep and 5 4 or 2 1;nTnTT,TnnTT
621;( 1 and 1 ) sep ( 5 or 5 );sep and 1 1 or 5 5;TnnnT
622;( 4 and 5 ) sep ( 4 and 4 );sep and 4 5 and 4 4;nnnTT
623;not 1 sep ( 4 and 2 );sep not 1 and 4 2;FTnTn
624;( 4 or 1 ) sep 4;sep or 4 1 4;nnnTn
625;not 4 sep 1;sep not 4 1;TnnFn
626;( 3 and 2 ) sep 2;sep and 3 2 2;nTTnn
627;( 1 or 2 ) sep ( 1 or 5 );sep or 1 2 or 1 5;nTnnT,Tnnnn
628;2 sep 4;sep 2 4;nTnTn
629;( 4 or 3 ) sep ( 2 or 2 );sep or 4 3 or 2 2;nTnTn,nTTnn
630;( 2 and 4 ) sep ( 2 or 3 );sep and 2 4 or 2 3;nTnTn
631;( 2 or 4 ) sep ( 5 or 1 );sep or 2 4 or 5 1;nnnTT,nTnnT,TnnTn,TTnnn
632;( 5 and 2 ) sep ( 4 and 3 );sep and 5 2 and 4 3;nTTTT
633;( 3 and 3 ) sep ( 3 or 4 );sep and 3 3 or 3 4;nnTnn
634;( 1 or 3 ) sep ( 5 and 1 );sep or 1 3 and 5 1;TnnnT
635;( 1 or 4 ) sep ( 2 or 5 );sep or 1 4 or 2 5;nnnTT,nTnTn,TnnnT,TTnnn
636;not 2 sep ( 2 or 5 );sep not 2 or 2 5;nFnnT
637;( 4 or 3 ) sep ( 2 or 3 );sep or 4 3 or 2 3;nnTnn,nTnTn
638;( 4 or 3 ) sep 4;sep or 4 3 4;nnnTn
639;not 4 sep 5;sep not 4 5;nnnFT
640;( 4 and 5 ) sep ( 3 or 5 );sep and 4 5 or 3 5;nnnTT
641;( 3 or 1 ) sep not 4;sep or 3 1 not 4;nnTFn,TnnFn
642;( 2 or 3 ) sep ( 5 or 5 );sep or 2 3 or 5 5;nnTnT,nTnnT
643;( 5 or 3 ) sep ( 2 or 3 );sep or 5 3 or 2 3;nnTnn,nTnnT
644;( 4 or 1 ) sep ( 3 or 4 );sep or 4 1 or 3 4;nnnTn,TnTnn
645;( 2 and 3 ) sep 5;sep and 2 3 5;nTTnT
646;( 3 or 4 ) sep ( 5 or 3 );sep or 3 4 or 5 3;nnnTT,nnTnn
647;( 3 and 2 ) sep ( 5 or 5 );sep and 3 2 or 5 5;nTTnT
648;5 sep ( 4 or 4 );sep 5 or 4 4;nnnTT
649;( 1 or 5 ) sep not 4;sep or 1 5 not 4;nnnFT,TnnFn
650;( 1 and 3 ) sep ( 2 or 5 );sep and 1 3 or 2 5;TnTnT,TTTnn
651;1 sep ( 5 and 4 );sep 1 and 5 4;TnnTT
652;( 3 or 4 ) sep ( 1 and 1 );sep or 3 4 and 1 1;TnnTn,TnTnn
653;( 3 and 1 ) sep ( 5 and 3 );sep and 3 1 and 5 3;TnTnT
654;( 3 and 2 ) sep ( 2 or 1 );sep and 3 2 or 2 1;nTTnn
655;not 3 sep ( 4 and 2 );sep not 3 and 4 2;nTFTn
656;( 5 or 4 ) sep not 3;sep or 5 4 not 3;nnFnT,nnFTn
657;( 5 or 2 ) sep ( 2 and 4 );sep or 5 2 and 2 4;nTnTn
658;not 5 sep not 1;sep not 5 not 1;FnnnF
659;( 2 and 4 ) sep ( 4 or 3 );sep and 2 4 or 4 3;nTnTn
660;( 5 or 4 ) sep ( 1 and 1 );sep or 5 4 and 1 1;TnnnT,TnnTn
661;2 sep ( 1 and 1 );sep 2 and 1 1;TTnnn
662;( 1 or 3 ) sep ( 4 and 1 );sep or 1 3 and 4 1;TnnTn
663;( 4 or 3 ) sep ( 4 and 4 );sep or 4 3 and 4 4;nnnTn
664;not 1 sep ( 5 or 4 );sep not 1 or 5 4;FnnnT,FnnTn
665;( 1 and 5 ) sep ( 3 or 2 );sep and 1 5 or 3 2;TnTnT,TTnnT
666;( 4 or 4 ) sep not 3;sep or 4 4 not 3;nnFTn
667;2 sep ( 5 and 2 );sep 2 and 5 2;nTnnT
668;( 5 or 5 ) sep ( 4 or 5 );sep or 5 5 or 4 5;nnnnT
669;( 3 and 5 ) sep ( 5 or 3 );sep and 3 5 or 5 3;nnTnT
670;( 2 and 3 ) sep ( 3 or 4 );sep and 2 3 or 3 4;nTTnn
671;( 5 or 3 ) sep 2;sep or 5 3 2;nTnnT,nTTnn
672;not 1 sep ( 2 and 4 );sep not 1 and 2 4;FTnTn
673;( 3 or 1 ) sep not 3;sep or 3 1 not 3;TnFnn
674;( 2 and 5 ) sep ( 2 and 5 );sep and 2 5 and 2 5;nTnnT
675;( 2 and 1 ) sep ( 2 and 2 );sep and 2 1 and 2 2;TTnnn
676;( 3 or 4 ) sep ( 1 and 2 );sep or 3 4 and 1 2;TTnTn,TTTnn
677;( 1 and 2 ) sep 1;sep and 1 2 1;TTnnn
678;( 1 or 5 ) sep ( 5 and 5 );sep or 1 5 and 5 5;nnnnT
679;not 3 sep ( 5 and 1 );sep not 3 and 5 1;TnFnT
680;( 1 or 1 ) sep ( 3 or 5 );sep or 1 1 or 3 5;TnnnT,TnTnn
681;3 sep ( 4 or 3 );sep 3 or 4 3;nnTnn
682;( 4 and 3 ) sep ( 5 or 3 );sep and 4 3 or 5 3;nnTTn
683;( 4 and 1 ) sep ( 5 and 3 );sep and 4 1 and 5 3;TnTTT
684;( 5 and 3 ) sep ( 2 or 4 );sep and 5 3 or 2 4;nnTTT,nTTnT
685;( 4 or 1 ) sep ( 2 and 5 );sep or 4 1 and 2 5;nTnTT,TTnnT
686;( 2 or 3 ) sep ( 2 and 2 );sep or 2 3 and 2 2;nTnnn
687;( 3 or 5 ) sep not 5;sep or 3 5 not 5;nnTnF
688;( 4 or 3 ) sep ( 2 and 3 );sep or 4 3 and 2 3;nTTnn
689;4 sep ( 5 or 2 );sep 4 or 5 2;nnnTT,nTnTn
